"_","Id","OwnerId","IsDeleted","Process_Flow__r","Process_Flow__r.Name","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","Activate_On_Creation__c","Active__c","Choose_Next_Owner__c","Conditional_Required_More_Info_Allowed__c","Department_Queue__c","Department__c","Description__c","Dont_Activate__c","Duration_To_Complete_In_Days__c","Duration_To_Complete_In_Hourss__c","Escalation_assigner__c","Escalation_assigner_time__c","Execute_on_submit__c","Expression__c","Field_Rendering__c","Fields_Display_Query__c","Form_Rendering__c","Is_Assigned_TO__c","Is_Multi_Select_Reopen__c","Is_Process_End__c","Is_Reject_Button_Required__c","Is_Required_More_Button_Required__c","Is_Review_Comments_Req__c","Is_Sequence_Business_Process_Available__c","Is_Single_Level_Required_Info__c","Is_Submit_to_Next_Department_Required__c","Is_check_List__c","Next_Approver_CC_Addresses__c","Next_Approver_Email_Template_Name__c","Owner_Assignment__c","Previous_Approver_s_Email_Template_Name__c","Process_Flow__c","Process_Identifier_Option_Values__c","Process_Identifier__c","Rejection_Email_Template_Name__c","Section_Number__c","Send_Approved_Email_to_Previous_Approver__c","Setp_No__c","Skip_Step_To_Reopen__c","Step_Entry_Criteria__c","Step_Name__c","User__c","View_review_comments__c","canMassUpdate__c","isSingleUser__c","section_Name__c"
"[Process_Flow_Step__c]","a0Fg50000026RJ4EAM","005g5000002JmPZAA0","false","[Process_Flow__c]","BrandCorporate- Gifting","PFS-0142","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","","","","false","true","false","false","","Marketing Ops","Marketing Ops APN and GRN Creation","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028DqAEAU","","Advanced Payment","","4","false","19","false","","Marketing Ops APN Creation","","false","false","false","Payment and Execution"
"[Process_Flow_Step__c]","a0Fg50000026RJ5EAM","005g5000002JmPZAA0","false","[Process_Flow__c]","BrandCorporate- Gifting","PFS-0143","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","","","","false","true","false","false","","Marketing","Design Approval by Initiator","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028DqAEAU","","","","1","false","5","false","","Design Approval by Initiator","","false","false","false","Request and Approval Stage"
"[Process_Flow_Step__c]","a0Fg50000026RJ6EAM","005g5000002JmPZAA0","false","[Process_Flow__c]","BrandCorporate- Gifting","PFS-0144","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","","","","false","true","false","false","","Procurement","Procurement - Vendor Scouting","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028DqAEAU","","","","2","false","8","false","","Procurement - Vendor Scouting","","false","false","false","Vendor Selection"
"[Process_Flow_Step__c]","a0Fg50000026RJ7EAM","005g5000002JmPZAA0","false","[Process_Flow__c]","BrandCorporate- Gifting","PFS-0145","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:14.000+0000","","","","false","true","false","false","","Marketing","Vendor Confirmation by Initiator","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028DqAEAU","","","","2","false","11","false","","Vendor Confirmation by Initiator","","false","false","false","Vendor Selection"
"[Process_Flow_Step__c]","a0Fg50000026k1XEAQ","005g5000002JmPZAA0","false","[Process_Flow__c]","Applicant Details Change Request","PFS-0023","2026-02-05T08:16:18.000+0000","005g5000002JmPZAA0","2026-02-05T08:16:18.000+0000","005g5000002JmPZAA0","2026-02-05T08:16:18.000+0000","","","","false","true","false","false","00Gba000000ssMoEAI","Sales Operations","Approver 1","false","","0","","","false","","false","","false","false","false","false","true","false","false","false","false","false","false","","","","","a0Gg50000028DjjEAE","","","","1","false","1","false","","Approver 1","","false","false","false","Applicant Details Change Request"
"[Process_Flow_Step__c]","a0Fg50000026k1YEAQ","005g5000002JmPZAA0","false","[Process_Flow__c]","Applicant Details Change Request","PFS-0024","2026-02-05T08:16:18.000+0000","005g5000002JmPZAA0","2026-02-05T08:16:18.000+0000","005g5000002JmPZAA0","2026-02-05T08:16:18.000+0000","","","","false","true","false","false","00Gba000000ssMoEAI","Sales Operations","Approver 2","false","","0","","","false","","false","","false","false","false","false","true","true","false","false","false","false","false","","","","","a0Gg50000028DjjEAE","","","","1","false","2","false","","Approver 2","","false","false","false","Applicant Details Change Request"
"[Process_Flow_Step__c]","a0Fg50000026k1ZEAQ","005g5000002JmPZAA0","false","[Process_Flow__c]","Applicant Details Change Request","PFS-0025","2026-02-05T08:16:18.000+0000","005g5000002JmPZAA0","2026-02-05T08:16:18.000+0000","005g5000002JmPZAA0","2026-02-05T08:16:18.000+0000","","","","false","true","false","false","00Gba000000ssMoEAI","Sales Operations","Approver 3","false","","0","","","false","","false","","false","false","false","true","true","true","false","false","false","false","false","","","","","a0Gg50000028DjjEAE","","","","1","false","3","false","","Approver 3","","false","false","false","Applicant Details Change Request"
"[Process_Flow_Step__c]","a0Fg50000026lZPEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Booking Extension","PFS-0076","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000000rZalEAE","Sales Operations","SD Approval","false","","0","","","false","","false","","false","false","false","false","true","false","false","false","false","false","false","","","","","a0Gg50000028DjhEAE","","","","1","false","1","false","","SD Approval","","false","false","false","SD Approval"
"[Process_Flow_Step__c]","a0Fg50000026lZQEAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Booking Extension","PFS-0077","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000000rZalEAE","Sales Operations","GCMO Approval","false","","0","","","false","","false","","false","false","false","true","true","true","false","false","false","false","false","","","","","a0Gg50000028DjhEAE","","","","5","false","5","false","","GCMO Approval","","false","false","false","GCMO Approval"
"[Process_Flow_Step__c]","a0Fg50000026lZREAY","005g5000002JmPZAA0","false","[Process_Flow__c]","Broker Owner Booking","PFS-0078","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","005g5000002JmPZAA0","2026-02-05T08:34:13.000+0000","","","","false","true","false","false","00Gba000001GoRhEAK","Sales","SM / SD Docs Upload","false","","0","","","false","","false","","false","false","false","false","false","false","false","false","false","false","false","","","","","a0Gg50000028BehEAE","","","","1","false","1","false","","SM / SD Docs Upload","","false","false","false","SM / SD Docs Upload"
